mesh,path,exists,loaded,num_vertices,num_faces,bbox_x,bbox_y,bbox_z,surface_area,preview_path
poisson,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/dense/meshed-poisson.ply,True,True,189669,377096,9.09292984008789,5.481712341308594,5.763605833053589,41.12798784055677,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/figures/baseline_poisson_mesh_preview.png
delaunay,/home/twilightpriest/GitHub/ApolloSplat-Py/outputs/baseline_colmap/dense/meshed-delaunay.ply,True,True,120016,240456,42.27976584434509,5.580324649810791,97.04478740692139,47.88992648338323,/home/twilightpriest/GitHub/ApolloSplat-Py/docs/figures/baseline_delaunay_mesh_preview.png
